成语5000,,,,
,低眉顺眼,,,
,抵足而眠,,,
,颠倒黑白,,,
,颠倒是非,,,
,颠沛流离,,,
,雕梁画栋,,,
,跌宕起伏,,,
,喋喋不休,,,
,顶礼膜拜,,,
,鼎铛玉石,,,
,鼎鼎有名,,,
,鼎镬刀锯,,,
,鼎力相助,,,
,鼎足而立,,,
,东窗事发,,,
,东床快婿,,,
,东道之谊,,,
,东风过耳,,,
,东郭先生,,,
,东南雀飞,,,
,东山再起,,,
,东施效颦,,,
,洞若观火,,,
,斗折蛇行,,,
,豆蔻年华,,,
,豆剖瓜分,,,
,独领风骚,,,
,独一无二,,,
,短小精悍,,,
,断发文身,,,
,断章取义,,,
,堆积如山,,,
,对床夜雨,,,
,对牛弹琴,,,
,顿开茅塞,,,
,多多益善,,,
,咄咄逼人,,,
,夺眶而出,,,
,俄顷之间,,,
,额手称庆,,,
,饿殍遍野,,,
,而立之年,,,
,耳鬓厮磨,,,
,耳不忍闻,,,
,耳濡目染,,,
,耳熟能详,,,
,耳顺之年,,,
,耳提面命,,,
,耳闻目睹,,,
,发轫之作,,,
,发上指冠,,,
,伐木丁丁,,,
,罚不当罪,,,
,翻来覆去,,,
,翻云覆雨,,,
,繁华酥骨,,,
,繁芜丛杂,,,
,繁芜丛杂,,,
,反哺报亲,,,
,反复无常,,,
,反躬自省,,,
,反躬自省,,,
,犯而不校,,,
,犯而不校,,,
,范张鸡黍,,,
,方底圆盖,,,
,方底圆盖,,,
,方底圆盖,,,
,方枘圆凿,,,
,方枘圆凿,,,
,方天画戟,,,
,方兴未艾,,,
,防微杜渐,,,
,防微杜渐,,,
,放浪形骸,,,
,飞蛾扑火,,,
,蜚短流长,,,
,废寝忘食,,,
,沸反盈天,,,
,沸反盈天,,,
,沸反盈天,,,
,沸沸扬扬,,,
,沸沸扬扬,,,
,沸沸扬扬,,,
,沸沸扬扬,,,
,肺腑之言,,,
,分崩离析,,,
,分崩离析,,,
,分崩离析,,,
,分崩离析,,,
,分庭抗礼,,,
,分庭抗礼,,,
,分庭抗礼,,,
,纷纷扬扬,,,
,纷至沓来,,,
,焚膏继晷,,,
,焚膏继晷,,,
,焚膏继晷,,,
,焚琴煮鹤,,,
,焚琴煮鹤,,,
,焚琴煮鹤,,,
,粉墨登场,,,
,粉墨登场,,,
,粉墨登场,,,
,粉墨登场,,,
,丰功伟绩,,,
,风餐露宿,,,
,风驰电掣,,,
,风吹雨打,,,
,风华正茂,,,
,风口浪尖,,,
,风流倜傥,,,
,风靡一时,,,
,风平浪静,,,
,风声鹤唳,,,
,风声鹤唳,,,
,风声鹤唳,,,
,风声鹤唳,,,
,风云变幻,,,
,风云诡谲,,,
,峰回路转,,,
,锋芒毕露,,,
,锋芒毕露,,,
,蜂拥而来,,,
,蜂拥而至,,,
,冯唐易老,,,
,逢人说项,,,
,逢人说项,,,
,逢人说项,,,
,凤凰涅槃,,,
,奉为圭臬,,,
,奉为圭臬,,,
,否极泰来,,,
,否极泰来,,,
,扶摇直上,,,
,浮光掠影,,,
,桴鼓相应,,,
,桴鼓相应,,,
,俯拾即是,,,
,俯首帖耳,,,
,俯首帖耳,,,
,俯首帖耳,,,
,俯首贴耳,,,
,俯仰生姿,,,
,釜底抽薪,,,
,釜底抽薪,,,
,辅车相依,,,
,辅车相依,,,
,辅车相依,,,
,辅车相依,,,
,辅车相依,,,
,簠簋不饬,,,
,簠簋不饬,,,
,簠簋不饬,,,
,付之一炬,,,
,付之一笑,,,
,付诸东流,,,
,付诸东流,,,
,付诸东流,,,
,付诸东流,,,
,妇人之仁,,,
,妇人之仁,,,
,妇人之仁,,,
,妇孺皆知,,,
,附庸风雅,,,
,富丽堂皇,,,
,改头换面,,,
,改弦更张,,,
,改弦更张,,,
,改弦更张,,,
,改弦易辙,,,
,改辕易辙,,,
,概莫能外,,,
,甘之如饴,,,
,甘之如饴,,,
,甘之如饴,,,
,肝肠寸断,,,
,肝胆相照,,,
,肝胆相照,,,
,肝胆相照,,,
,感慨系之,,,
,感慨系之,,,
,干系甚大,,,
,刚毅木讷,,,
,高车驷马,,,
,高朋满座,,,
,高山流水,,,
,高山流水,,,
,高山流水,,,
,高山流水,,,
,高谈阔论,,,
,高屋建瓴,,,
,高屋建瓴,,,
,櫜弓戢矢,,,
,革故鼎新,,,
,革故鼎新,,,
,格物致知,,,
,格物致知,,,
,各得其所,,,
,各抒己见,,,
,各行其是,,,
,各行其是,,,
,各行其是,,,
,根深蒂固,,,
,根深蒂固,,,
,亘古不变,,,
,耿耿于怀,,,
,功败垂成,,,
,功败垂成,,,
,功败垂成,,,
,恭敬桑梓,,,
,觥筹交错,,,
,觥筹交错,,,
,狗窦大开,,,
,狗皮膏药,,,
,狗尾续貂,,,
,狗尾续貂,,,
,狗尾续貂,,,
,呱呱坠地,,,
,呱呱坠地,,,
,呱呱坠地,,,
,姑射神人,,,
,姑射神人,,,
,姑射神人,,,
,孤芳自赏,,,
,孤苦伶仃,,,
,古道热肠,,,
,古稀之年,,,
,股肱之臣,,,
,股肱之臣,,,
,蛊惑人心,,,
,蛊惑人心,,,
,蛊惑人心,,,
,顾此失彼,,,
,顾此失彼,,,
,瓜葛相连,,,
,瓜葛相连,,,
,瓜葛相连,,,
,瓜熟蒂落,,,
,瓜熟蒂落,,,
,瓜熟蒂落,,,
,瓜田李下,,,
,瓜田李下,,,
,瓜田李下,,,
,瓜田李下,,,
,瓜田李下,,,
,瓜田李下,,,
,刮目相看,,,
,刮目相看,,,
,刮目相看,,,
,刮目相看,,,
,寡不敌众,,,
,怪诞不经,,,
,怪力乱神,,,
,冠履倒置,,,
,冠冕堂皇,,,
,鳏寡孤独,,,
,鳏寡孤独,,,
,管鲍之交,,,
,管鲍之交,,,
,管鲍之交,,,
,管鲍之交,,,
,管鲍之交,,,
,管窥蠡测,,,
,管窥蠡测,,,
,管中窥豹,,,
,管中窥豹,,,
,管中窥豹,,,
,盥耳山栖,,,
,盥耳山栖,,,
,盥耳山栖,,,
,光怪陆离,,,
,光明正大,,,
,广陵散绝,,,
,广袤无垠,,,
,鬼斧神工,,,
,鬼鬼祟祟,,,
,鬼鬼祟祟,,,
,鬼鬼祟祟,,,
,鬼迷心窍,,,
,滚瓜烂熟,,,
,滚瓜烂熟,,,
,滚瓜烂熟,,,
,过江之鲫,,,
,过江之鲫,,,
,过犹不及,,,
,过犹不及,,,
,过犹不及,,,
,海枯石烂,,,
,海枯石烂,,,
,海阔天空,,,
,海市蜃楼,,,
,骇人听闻,,,
,骇人听闻,,,
,骇人听闻,,,
,骇人听闻,,,
,骇⼈听闻,,,
,骇人听闻,,,
,酣畅淋漓,,,
,酣然入梦,,,
,含辛茹苦,,,
,邯郸学步,,,
,寒泉之思,,,
,汗流浃背,,,
,汗流浃背,,,
,汗流浃背,,,
,汗⽜充栋,,,
,撼动人心,,,
,沆瀣一气,,,
,沆瀣一气,,,
,沆瀣一气,,,
,沆瀣一气,,,
,沆瀣一气,,,
,好为人师,,,
,昊天罔极,,,
,皓首穷经,,,
,合辙押韵,,,
,和蔼可亲,,,
,和盘托出,,,
,和盘托出,,,
,和盘托出,,,
,和颜悦色,,,
,河东狮吼,,,
,河东狮吼,,,
,河东狮吼,,,
,河东狮吼,,,
,河东狮吼,,,
,涸辙之鲋,,,
,涸辙之鲋,,,
,涸辙之鲋,,,
,涸辙之鲋,,,
,涸辙之鲋,,,
,赫赫扬扬,,,
,赫赫有名,,,
,鹤立鸡群,,,
,鹤立鸡群,,,
,横七竖八,,,
,横征暴敛,,,
,哄堂大笑,,,
,猴年马月,,,
,猴年马月,,,
,猴年马月,,,
,猴子搏矢,,,
,猴子搏矢,,,
,猴子搏矢,,,
,猴子称大王,,,
,猴子称大王,,,
,后悔莫及,,,
,后生可畏,,,
,呼朋引伴,,,
,呼朋引类,,,
,呼天抢地,,,
,囫囵吞枣,,,
,湖光山色,,,
,虎踞龙盘,,,
,虎视眈眈,,,
,虎兕出柙,,,
,护犊情深,,,
,怙恶不悛,,,
,怙恶不悛,,,
,怙恶不悛,,,
,怙恶不悛,,,
,怙恶不悛,,,
,花团锦簇,,,
,花枝招展,,,
,花枝招展,,,
,哗众取宠,,,
,化险为夷,,,
,画龙点睛,,,
,画龙点睛,,,
,画龙点睛,,,
,画龙点睛,,,
,画蛇添足,,,
,怀古伤今,,,
,欢欣雀跃,,,
,环肥燕瘦,,,
,环肥燕瘦,,,
,环肥燕瘦,,,
,涣然冰释,,,
,涣然冰释,,,
,患得患失,,,
,皇天后土,,,
,皇天后土,,,
,黄发垂髫,,,
,黄发垂髫,,,
,黄粱美梦,,,
,黄粱美梦,,,
,黄粱美梦,,,
,黄粱美梦,,,
,黄雀衔环,,,
,黄雀在后,,,
,黄钟大吕,,,
